source_group,cases,source_families,median_selected_mods,median_required_edges,median_required_edge_density,median_maximum_depth,median_candidate_versions,controls,modified
Synthetic,19,19,2.0,1.0,0.500,1.0,1.00,19,0
Reduced real controls,2,2,3.5,1.0,0.292,1.0,1.00,2,0
Complete Modrinth controls,9,9,45.0,29.0,0.826,2.0,1.00,9,0
Reduced real variants,4,2,3.0,1.0,0.333,1.0,1.00,0,4
Complete Modrinth variants,9,9,44.0,29.0,0.844,2.0,1.00,0,9
Legacy custom scale,39,15,40.0,0.0,0.000,0.0,1.00,4,35
Custom topology,48,16,114.5,205.5,1.789,10.0,1.37,16,32
Cascading stress,12,12,2.0,1.0,0.583,1.0,1.00,0,12
Search stress,16,16,2.5,0.0,0.000,0.0,1.88,0,16
Total,158,89,29.0,1.5,0.550,1.0,1.01,50,108
