dimension,category,count
overall,total_queued,62
overall,automated_evidence_ready,56
overall,human_reviewed,0
overall,publication_ready,0
overall,rejected,0
overall,remaining_review_count,62
review_status,automated_evidence_ready,56
review_status,not_started,6
source_type,cascading_stress,12
source_type,custom_modpack,2
source_type,custom_topology,16
source_type,modified_real,13
source_type,original_real,11
source_type,search_stress,4
source_type,synthetic,4
size_category,huge,4
size_category,large,6
size_category,medium,12
size_category,small,40
