case_id,source_type,size_category,source_family_id,review_status,automated_evidence_ready,human_review_required,publication_ready,warning_count
cascade-01-missing-chain,cascading_stress,small,cascade-01-missing-chain,automated_evidence_ready,True,True,False,0
cascade-02-add-conflict,cascading_stress,small,cascade-02-add-conflict,automated_evidence_ready,True,True,False,0
cascade-03-version-dependency,cascading_stress,small,cascade-03-version-dependency,automated_evidence_ready,True,True,False,0
cascade-04-version-transitive,cascading_stress,small,cascade-04-version-transitive,automated_evidence_ready,True,True,False,0
cascade-05-global-choice,cascading_stress,small,cascade-05-global-choice,automated_evidence_ready,True,True,False,0
cascade-06-shared-fan-in,cascading_stress,small,cascade-06-shared-fan-in,automated_evidence_ready,True,True,False,0
cascade-07-diamond,cascading_stress,small,cascade-07-diamond,automated_evidence_ready,True,True,False,0
cascade-08-cycle,cascading_stress,small,cascade-08-cycle,automated_evidence_ready,True,True,False,0
cascade-09-loader-choice,cascading_stress,small,cascade-09-loader-choice,automated_evidence_ready,True,True,False,0
cascade-10-conflict-alternative,cascading_stress,small,cascade-10-conflict-alternative,automated_evidence_ready,True,True,False,0
cascade-11-no-solution,cascading_stress,small,cascade-11-no-solution,automated_evidence_ready,True,True,False,0
cascade-12-multi-error,cascading_stress,small,cascade-12-multi-error,automated_evidence_ready,True,True,False,0
custom-focused-unknown-dependency,custom_modpack,small,custom-focused-unknown-dependency,not_started,False,True,False,0
custom-focused-unresolved-selected,custom_modpack,small,custom-focused-unresolved-selected,not_started,False,True,False,0
dense-huge-chain-control,custom_topology,huge,dense-huge-chain,automated_evidence_ready,True,True,False,0
dense-huge-clustered_modules-control,custom_topology,huge,dense-huge-clustered_modules,automated_evidence_ready,True,True,False,0
dense-huge-layered_dag-control,custom_topology,huge,dense-huge-layered_dag,automated_evidence_ready,True,True,False,0
dense-huge-shared_library_fan_in-control,custom_topology,huge,dense-huge-shared_library_fan_in,automated_evidence_ready,True,True,False,0
dense-large-chain-control,custom_topology,large,dense-large-chain,automated_evidence_ready,True,True,False,0
dense-large-clustered_modules-control,custom_topology,large,dense-large-clustered_modules,automated_evidence_ready,True,True,False,0
dense-large-layered_dag-control,custom_topology,large,dense-large-layered_dag,automated_evidence_ready,True,True,False,0
dense-large-shared_library_fan_in-control,custom_topology,large,dense-large-shared_library_fan_in,automated_evidence_ready,True,True,False,0
dense-medium-chain-control,custom_topology,medium,dense-medium-chain,automated_evidence_ready,True,True,False,0
dense-medium-clustered_modules-control,custom_topology,medium,dense-medium-clustered_modules,automated_evidence_ready,True,True,False,0
dense-medium-layered_dag-control,custom_topology,medium,dense-medium-layered_dag,automated_evidence_ready,True,True,False,0
dense-medium-shared_library_fan_in-control,custom_topology,medium,dense-medium-shared_library_fan_in,automated_evidence_ready,True,True,False,0
dense-small-chain-control,custom_topology,small,dense-small-chain,automated_evidence_ready,True,True,False,0
dense-small-clustered_modules-control,custom_topology,small,dense-small-clustered_modules,automated_evidence_ready,True,True,False,0
dense-small-layered_dag-control,custom_topology,small,dense-small-layered_dag,automated_evidence_ready,True,True,False,0
dense-small-shared_library_fan_in-control,custom_topology,small,dense-small-shared_library_fan_in,automated_evidence_ready,True,True,False,0
full-cobblemondelta-tvwcsaml,original_real,medium,modrinth-full-cobblemondelta-tvwCSAMl,automated_evidence_ready,True,True,False,0
full-cobblemondelta-tvwcsaml-missing-required,modified_real,medium,modrinth-full-cobblemondelta-tvwCSAMl,automated_evidence_ready,True,True,False,0
full-fabulously-optimized-czy3bvs9,original_real,medium,modrinth-full-fabulously-optimized-cZY3Bvs9,automated_evidence_ready,True,True,False,0
full-fabulously-optimized-czy3bvs9-missing-required,modified_real,medium,modrinth-full-fabulously-optimized-cZY3Bvs9,automated_evidence_ready,True,True,False,0
