case_id,source_type,source_family_id,source_pack_slug,collection_method,ground_truth_method,modification_type,topology,pack_size_category,selected_mod_count,dependency_edge_count,required_edge_count,required_edge_density,maximum_required_depth,mean_candidate_versions_per_mod,expected_repairable,expected_initial_status
cascade-01-missing-chain,cascading_stress,cascade-01-missing-chain,,,inverse_injection,cascading_repair,,small,1,1,1,1.0000,1,1.000,True,incompatible
cascade-02-add-conflict,cascading_stress,cascade-02-add-conflict,,,inverse_injection,cascading_repair,,small,2,1,1,0.5000,1,1.000,True,incompatible
cascade-03-version-dependency,cascading_stress,cascade-03-version-dependency,,,inverse_injection,cascading_repair,,small,1,0,0,0.0000,0,2.000,True,incompatible
cascade-04-version-transitive,cascading_stress,cascade-04-version-transitive,,,inverse_injection,cascading_repair,,small,1,0,0,0.0000,0,2.000,True,incompatible
cascade-05-global-choice,cascading_stress,cascade-05-global-choice,,,inverse_injection,cascading_repair,,small,2,1,1,0.5000,1,1.000,True,incompatible
cascade-06-shared-fan-in,cascading_stress,cascade-06-shared-fan-in,,,inverse_injection,cascading_repair,,small,3,3,3,1.0000,1,1.000,True,incompatible
cascade-07-diamond,cascading_stress,cascade-07-diamond,,,inverse_injection,cascading_repair,,small,3,4,4,1.3333,2,1.000,True,incompatible
cascade-08-cycle,cascading_stress,cascade-08-cycle,,,inverse_injection,cascading_repair,,small,1,1,1,1.0000,1,1.000,True,incompatible
cascade-09-loader-choice,cascading_stress,cascade-09-loader-choice,,,inverse_injection,cascading_repair,,small,1,1,1,1.0000,1,1.000,True,incompatible
cascade-10-conflict-alternative,cascading_stress,cascade-10-conflict-alternative,,,inverse_injection,cascading_repair,,small,2,0,0,0.0000,0,2.000,True,incompatible
cascade-11-no-solution,cascading_stress,cascade-11-no-solution,,,reference_enumeration,unsatisfiable,,small,3,2,2,0.6667,1,1.000,False,incompatible
cascade-12-multi-error,cascading_stress,cascade-12-multi-error,,,inverse_injection,cascading_repair,,small,6,2,1,0.2000,1,1.400,True,incompatible
custom-focused-conflict-alternative,custom_modpack,custom-focused-conflict-alternative,,,inverse_injection,manual,,small,6,1,0,0.0000,0,1.167,True,incompatible
custom-focused-dependency-chain,custom_modpack,custom-focused-dependency-chain,,,inverse_injection,manual,,small,6,2,2,0.3333,2,1.000,True,incompatible
custom-focused-embedded,custom_modpack,custom-focused-embedded,,,inverse_injection,manual,,small,6,1,0,0.0000,0,1.000,False,compatible
custom-focused-multiple-missing,custom_modpack,custom-focused-multiple-missing,,,inverse_injection,manual,,small,6,2,2,0.3333,1,1.000,True,incompatible
custom-focused-unknown-dependency,custom_modpack,custom-focused-unknown-dependency,,,inverse_injection,manual,,small,6,1,1,0.1667,1,1.000,False,incompatible
custom-focused-unresolved-selected,custom_modpack,custom-focused-unresolved-selected,,,inverse_injection,manual,,small,7,1,1,0.1429,1,0.857,False,incompatible
