dimension,category,case_count,source_family_count
all,all,158,89
source_type,cascading_stress,12,12
source_type,custom_modpack,39,15
source_type,custom_topology,48,16
source_type,modified_real,13,11
source_type,original_real,11,11
source_type,search_stress,16,16
source_type,synthetic,19,19
pack_size,huge,20,6
pack_size,large,22,7
pack_size,medium,28,10
pack_size,small,88,66
case_origin,modified/injected,108,66
case_origin,original/control,50,50
real_data_scope,complete_manifest,18,9
real_data_scope,reduced_metadata,6,2
topology,candidate_explosion,4,4
topology,chain,12,4
topology,clustered_modules,12,4
topology,layered_dag,12,4
topology,no_solution,4,4
topology,not_applicable,94,57
topology,profile_sensitive,4,4
topology,shared_library_fan_in,12,4
topology,tie_breaking,4,4
ground_truth,inverse_injection,91,49
ground_truth,original_control,50,50
ground_truth,reference_enumeration,17,17
review_status,legacy_retained,58,34
review_status,validated,64,32
review_status,validated_pending_manual_review,30,21
review_status,validated_reduced_metadata,6,2
complexity_quartile,Q1,40,24
complexity_quartile,Q2,39,30
complexity_quartile,Q3,40,27
complexity_quartile,Q4,39,15
